,Date,StartupName,CityLocation,InvestorsName,InvestmentType,AmountInUSD
0,01/08/2017,TouchKin,Bangalore,Kae Capital,Private Equity,"1,300,000"
1,02/08/2017,Zepo,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,"500,000"
2,02/08/2017,Click2Clinic,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,"850,000"
3,01/07/2017,Billion Loans,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,"1,000,000"
4,03/07/2017,Ecolibriumenergy,Ahmedabad,"Infuse Ventures, JLL",Private Equity,"2,600,000"
5,04/07/2017,Droom,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,"20,000,000"
6,05/07/2017,Jumbotail,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,"8,500,000"
7,05/07/2017,Moglix,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,"12,000,000"
8,05/07/2017,Timesaverz,Mumbai,BCCL,Private Equity,"1,000,000"
9,07/07/2017,Clip App,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,"1,000,000"
10,10/07/2017,Autorox.co,Hyderabad,Mitsui & Co.,Private Equity,"3,000,000"
11,11/07/2017,Fabogo,Pune,Dunamis Ventures Pte Ltd,Private Equity,"2,250,000"
12,11/07/2017,Flickstree,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,"464,000"
13,12/07/2017,Innoviti,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,"18,500,000"
14,14/07/2017,QwikSpec,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,"540,000"
15,14/07/2017,Chumbak,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,"1,700,000"
16,17/07/2017,Increff,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,"2,000,000"
17,17/07/2017,Vayana,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,"4,000,000"
18,19/07/2017,Rentomojo,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,"10,000,000"
19,19/07/2017,Playablo,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,"600,000"
20,20/07/2017,Trupay,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,"700,000"
21,21/07/2017,Brick2Wall,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,"200,000"
22,25/07/2017,Noticeboard,Bangalore,"Stellaris Venture Partners,",Private Equity,"1,200,000"
23,25/07/2017,Byju’s,Bangalore,Tencent Holdings,Private Equity,"35,000,000"
24,26/07/2017,Fab Hotels,New Delhi,Goldman Sachs,Private Equity,"25,000,000"
25,26/07/2017,ThinkerBell,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding,"200,000"
26,27/07/2017,1mg,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,"15,000,000"
27,28/07/2017,BigStylist,Mumbai,Info Edge (India) Ltd,Private Equity,"1,250,000"
28,05/06/2017,Goomo,Mumbai,Emerging India,Private Equity,"50,000,000"
29,06/06/2017,Spinny,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,"1,000,000"
30,06/06/2017,BHIVE Workspace,Bangalore,Blume Ventures,Private Equity,"1,200,000"
31,06/06/2017,wayForward,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,"1,000,000"
32,07/06/2017,ZipLoan,New Delhi,WaterBridge Ventures,Seed Funding,"650,000"
33,07/06/2017,GrowFitter,Mumbai,SQue Capital,Seed Funding,"600,000"
34,08/06/2017,Stratfit,Hyderabad,Bodhtree Consulting Limited,Seed Funding,"232,000"
35,08/06/2017,Multiplier Solutions,Hyderabad,Norwest Venture Partners,Private Equity,"1,500,000"
36,08/06/2017,ABI Health,Bangalore,Norwest Venture Partners,Private Equity,"1,500,000"
37,08/06/2017,Stockal,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,"350,000"
38,09/06/2017,Guidoo,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,"300,000"
39,09/06/2017,eSahai.in,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,"250,000"
40,12/06/2017,LendingKart,Ahmedabad,Yes Bank,Debt Funding,"7,800,000"
41,12/06/2017,Boxx.ai,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,"500,000"
42,12/06/2017,PeeSafe.in,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,"1,000,000"
43,12/06/2017,Vista Rooms,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,"776,000"
44,12/06/2017,CoverFox,Mumbai,Transamerica,Private Equity,"15,000,000"
45,13/06/2017,Goodera,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,"5,500,000"
46,14/06/2017,Ola,Bangalore,Tekne Capital Management LLC,Private Equity,"50,000,000"
47,14/06/2017,MrNeeds,Noida,undisclosed investors,Seed Funding,"500,000"
48,15/06/2017,MoneyTap,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,"12,300,000"
49,16/06/2017,Goodbox,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,"1,000,000"
50,16/06/2017,Fincash,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,"100,000"
51,16/06/2017,PortDesk,Noida,Alphard Maritime Group,Seed Funding,"2,000,000"
52,19/06/2017,Unbxd,Bangalore,Eight Roads Ventures,Private Equity,"12,500,000"
53,19/06/2017,DarwinBox,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,"4,000,000"
54,20/06/2017,ForeverShop,Bangalore,91maker.com,Seed Funding,"300,000"
55,20/06/2017,Insider.in,Mumbai,Paytm,Private Equity,"5,200,000"
56,21/06/2017,Fynd,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,"2,400,000"
57,21/06/2017,Grow Fit,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,"4,500,000"
58,21/06/2017,Fabulyst,Hyderabad,iBhubs,Seed Funding,"215,000"
59,21/06/2017,mSwipe,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,"31,000,000"
60,22/06/2017,Julia Computing,Bangalore,"General Catalyst, Founder Collective",Private Equity,"4,600,000"
61,22/06/2017,Kissht,Mumbai,"Endiya Partners, Ventureast",Private Equity,"2,000,000"
62,22/06/2017,Explore Life traveling,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,"500,000"
63,23/06/2017,Loantap,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,"4,000,000"
64,23/06/2017,Voxweb,Mumbai,Undisclosed investors,Seed Funding,"1,000,000"
65,26/06/2017,HUG Innovations,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,"5,000,000"
66,26/06/2017,Flipkart,Bangalore,Naspers,Private Equity,"71,000,000"
67,26/06/2017,V Resorts,Noida,"Seedfund, RB International",Private Equity,"4,000,000"
68,27/06/2017,Stashfin,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,"5,000,000"
69,27/06/2017,Spares Hub,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,"311,000"
70,28/06/2017,Rubique,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,"3,000,000"
71,28/06/2017,Niki.ai,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,"2,000,000"
72,29/06/2017,Fitpass,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,"1,000,000"
73,30/06/2017,Tagos Design,Bangalore,Undisclosed Investors,Private Equity,"5,000,000"
74,30/06/2017,UrbanClap,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,"21,000,000"
75,01/05/2017,Ace2three,Hyderabad,Clairvest Group,Private Equity,"73,700,000"
76,01/05/2017,Power2SME,Gurgaon,International Finance Corporation,Private Equity,"10,000,000"
77,02/05/2017,Innovapptive,Hyderabad,Hyderabad Angels,Seed Funding,"1,500,000"
78,02/05/2017,4tigo,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,"10,000,000"
79,02/05/2017,ZippServe,Bangalore,undisclosed investors,Seed Funding,"390,000"
80,03/05/2017,Ola,Bangalore,"Falcon Edge Capital,  Capital Advisers",Private Equity,"104,500,000"
81,03/05/2017,Sumeru,Bangalore,undisclosed investors,Seed Funding,"1,000,000"
82,05/05/2017,Balance App,Bangalore,Rainmatter,Seed Funding,"233,000"
83,08/05/2017,YepMe,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,"700,000"
84,08/05/2017,MyGreens,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,"1,000,000"
85,08/05/2017,Ace Turtle,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,"5,000,000"
86,08/05/2017,CureFit,Bangalore,"RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,"3,000,000"
87,09/05/2017,Curie Labs,New Delhi,Satoshi Studios,Seed Funding,"50,000"
88,10/05/2017,Vidooly,Noida,"Times Internet, GVFL",Private Equity,"1,400,000"
89,10/05/2017,Shopclues,Gurgaon,InnoVen Capital,Private Equity,"7,700,000"
90,10/05/2017,Fourth Ambit,Bangalore,1Crowd,Seed Funding,"600,000"
91,11/05/2017,Early Salary,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,"4,000,000"
92,12/05/2017,Legal Raasta,New Delhi,Impanix Capital,Private Equity,"5,000,000"
93,12/05/2017,Remit Guru,Mumbai,"Infibeam, CCavenue",Private Equity,"466,000"
94,12/05/2017,Aequm,Bangalore,undisclosed investors,Seed Funding,"1,000,000"
95,15/05/2017,Zapty,Bangalore,IdeaSpring Capital,Seed Funding,"500,000"
