S.No.,States,Languages,Secondary_languages
1,Andhra Pradesh,Telugu,English
2,Arunachal Pradesh,English,English
3,Assam,Assamese,"Bengali, Bodo"
4,Bihar,Hindi,Urdu
5,Chhattisgarh,Hindi,Chhattisgarhi
6,Goa,"Konkani, English",Marathi
7,Gujarat,Gujarati,Hindi
8,Haryana,Hindi,"English, Punjabi"
9,Himachal Pradesh,Hindi,Sanskrit
10,Jharkhand,Hindi,"Angika, Bengali, Bhojpuri, Ho, Kharia, Khortha, Kurmali, Kurukh, Magahi, Maithili, Mundari, Nagpuri, Odia, Santali and Urdu"
11,Karnataka,Kannada,English
12,Kerala,Malayalam,English
13,Madhya Pradesh,Hindi,English
14,Maharashtra,Marathi,English
15,Manipur,Manipuri,English
16,Meghalaya,English,Khasi and Garo
17,Mizoram,Mizo,"English, Hindi"
18,Nagaland,English,English
19,Odisha,Odia,English
20,Punjab,Punjabi,English
21,Rajasthan,Hindi,English
22,Sikkim,"English, Nepali, Sikkimese, Lepcha","Gurung, Limbu, Magar, Mukhia, Newari, Rai, Sherpa and Tamang"
23,Tamil Nadu,Tamil,English
24,Telangana,Telugu,Urdu
25,Tripura,"Bengali, English, Kokborok",English
26,Uttar Pradesh,Hindi,Urdu
27,Uttarakhand,Hindi,Sanskrit
28,West Bengal,"Bengali, English","Nepali, Urdu, Hindi, Odia, Santali, Punajbi, Kamtapuri, Rajbanshi, Kurmali, Kurukh and Telugu"
